day,deepseek_daily,chatgpt_daily,threads_daily,deepseek_cumulative,chatgpt_cumulative,threads_cumulative
0,2551,1925,5,2551,1925,5
1,2316,29591,262,4867,31516,267
2,2224,51994,18131,7091,83510,18398
3,1680,75917,16398,8771,159427,34796
4,2263,75277,18898,11034,234704,53694
5,6834,56528,19081,17868,291232,72775
6,20381,68069,15754,38249,359301,88529
7,26418,84582,14146,64667,443883,102675
8,31770,123453,14025,96437,567336,116700
9,49097,121869,14161,145534,689205,130861
10,66669,96276,12737,212203,785481,143598
11,104922,92980,11702,317125,878461,155300
12,660952,52496,8979,978077,930957,164279
13,860907,53625,7614,1838984,984582,171893
14,451927,92800,5427,2290911,1077382,177320
15,241590,90633,7094,2532501,1168015,184414
16,131327,65078,12044,2663828,1233093,196458
17,80304,70794,10406,2744132,1303887,206864
18,68995,67808,8464,2813127,1371695,215328
19,71881,52901,7327,2885008,1424596,222655
20,66489,50022,6728,2951497,1474618,229383
21,62864,55715,6077,3014361,1530333,235460
22,55920,65111,6236,3070281,1595444,241696
23,44331,65163,6832,3114612,1660607,248528
24,31079,94381,5320,3145691,1754988,253848
25,28741,77949,4935,3174432,1832937,258783
26,35182,50027,4984,3209614,1882964,263767
27,34233,53575,4898,3243847,1936539,268665
28,35148,72838,4910,3278995,2009377,273575
29,35034,85588,5986,3314029,2094965,279561
30,23339,96031,5453,3337368,2190996,285014
31,17959,112121,4534,3355327,2303117,289548
32,18611,115590,3701,3373938,2418707,293249
33,25592,109351,3275,3399530,2528058,296524
34,24730,112503,2975,3424260,2640561,299499
35,22137,139474,2631,3446397,2780035,302130
36,19350,163702,3531,3465747,2943737,305661
37,18459,170396,3790,3484206,3114133,309451
38,12870,166731,3194,3497076,3280864,312645
39,12268,171904,3159,3509344,3452768,315804
40,15880,137192,2753,3525224,3589960,318557
41,15268,125589,2814,3540492,3715549,321371
42,14787,173217,3035,3555279,3888766,324406
43,14307,226587,3241,3569586,4115353,327647
44,11156,227781,3135,3580742,4343134,330782
45,8278,180493,3513,3589020,4523627,334295
46,9225,176781,3169,3598245,4700408,337464
47,12773,161914,3020,3611018,4862322,340484
48,12005,182686,3083,3623023,5045008,343567
49,11453,223507,2330,3634476,5268515,345897
50,10888,246519,2209,3645364,5515034,348106
51,10443,238953,2450,3655807,5753987,350556
52,7391,240126,2627,3663198,5994113,353183
53,7619,239290,2179,3670817,6233403,355362
54,10354,215210,3145,3681171,6448613,358507
55,10222,220959,2777,3691393,6669572,361284
56,9703,283857,2116,3701096,6953429,363400
57,8955,278906,1956,3710051,7232335,365356
58,8076,257708,1907,3718127,7490043,367263
59,6914,267112,2188,3725041,7757155,369451
60,6884,264945,2177,3731925,8022100,371628
61,9226,211780,2108,3741151,8233880,373736
62,9543,209862,1901,3750694,8443742,375637
63,8670,249893,1653,3759364,8693635,377290
64,7028,301250,1716,3766392,8994885,379006
65,6140,299810,1744,3772532,9294695,380750
66,4760,310804,1830,3777292,9605499,382580
67,4698,255094,1864,3781990,9860593,384444
68,6470,241040,2012,3788460,10101633,386456
69,6836,227644,2005,3795296,10329277,388461
70,6860,257447,1911,3802156,10586724,390372
71,9175,204424,1574,3811331,10791148,391946
72,7585,234607,1794,3818916,11025755,393740
73,6413,212979,2575,3825329,11238734,396315
74,6650,176821,2168,3831979,11415555,398483
75,7632,147754,1868,3839611,11563309,400351
76,7039,149091,1764,3846650,11712400,402115
77,7280,164983,1497,3853930,11877383,403612
78,8403,187112,1903,3862333,12064495,405515
79,6126,183686,1632,3868459,12248181,407147
80,5509,169804,2141,3873968,12417985,409288
81,5933,139778,1909,3879901,12557763,411197
82,7276,126296,1690,3887177,12684059,412887
83,6429,133353,1547,3893606,12817412,414434
84,6089,193268,1595,3899695,13010680,416029
