date,btc_usd,brent_usd,vix
2024-01-02,45030.04,76.24,13.2
2024-01-03,42836.3,77.18,14.04
2024-01-04,44230.11,75.79,14.13
2024-01-05,44174.5,78.31,13.35
2024-01-08,47000.31,75.47,13.08
2024-01-09,46103.0,77.97,12.76
2024-01-10,46590.34,78.46,12.69
2024-01-11,46324.98,80.21,12.44
2024-01-12,42797.41,79.89,12.7
2024-01-15,42500.0,79.76,13.25
2024-01-16,43152.59,80.15,13.84
2024-01-17,42705.07,78.88,14.79
2024-01-18,41234.95,81.04,14.13
2024-01-19,41633.68,80.71,13.3
2024-01-22,39547.64,81.7,13.19
2024-01-23,39866.78,82.04,12.55
2024-01-24,40051.8,82.15,13.14
2024-01-25,39944.5,82.33,13.45
2024-01-26,41792.29,83.34,13.26
2024-01-29,43272.35,83.99,13.6
2024-01-30,42985.96,84.14,13.31
2024-01-31,42599.49,82.98,14.35
2024-02-01,43090.14,82.2,13.88
2024-02-02,43187.41,79.54,13.85
2024-02-05,42654.6,79.3,13.67
2024-02-06,43093.37,80.46,13.06
2024-02-07,44393.14,81.18,12.83
2024-02-08,45345.8,83.01,12.79
2024-02-09,47154.45,83.58,12.93
2024-02-12,49961.0,83.88,13.93
2024-02-13,49691.47,84.72,15.85
2024-02-14,51833.46,84.41,14.38
2024-02-15,51935.86,84.33,14.01
2024-02-16,52181.12,84.88,14.24
2024-02-19,51766.22,85.52,14.71
2024-02-20,52284.38,84.78,15.42
2024-02-21,51833.99,84.77,15.34
2024-02-22,51262.51,85.84,14.54
2024-02-23,50751.19,84.18,13.75
2024-02-26,54559.0,84.01,13.74
2024-02-27,57064.29,83.8,13.43
2024-02-28,62479.39,84.08,13.84
2024-02-29,61240.13,84.57,13.4
2024-03-01,62468.47,84.82,13.11
2024-03-04,68277.61,86.58,13.49
2024-03-05,63893.71,85.82,14.46
2024-03-06,66092.71,86.59,14.5
2024-03-07,66914.79,84.88,14.44
2024-03-08,68313.7,84.29,14.74
2024-03-11,72202.19,83.44,15.22
2024-03-12,71471.62,83.66,13.84
2024-03-13,73098.48,83.95,13.75
2024-03-14,71456.55,86.16,14.4
2024-03-15,69492.42,85.39,14.41
2024-03-18,67566.95,86.47,14.33
2024-03-19,61977.96,87.36,13.82
2024-03-20,67862.33,85.77,13.04
2024-03-21,65505.11,84.92,12.92
2024-03-22,63712.44,84.87,13.06
2024-03-25,69914.45,86.18,13.19
2024-03-26,69976.26,85.91,13.24
2024-03-27,69372.26,84.94,12.78
2024-03-28,70770.78,86.17,13.01
2024-04-02,65478.7,87.63,14.61
2024-04-03,65982.23,90.6,14.33
2024-04-04,68415.92,90.32,16.35
2024-04-05,67878.68,92.81,16.03
2024-04-08,71607.88,91.73,15.19
2024-04-09,69100.81,92.13,14.98
2024-04-10,70554.77,91.57,15.8
2024-04-11,70001.36,91.49,14.91
2024-04-12,67107.27,93.12,17.31
2024-04-15,63359.28,90.84,19.23
2024-04-16,63840.0,91.29,18.4
2024-04-17,61267.8,89.54,18.21
2024-04-18,63447.36,88.34,18.0
2024-04-19,63836.5,87.96,18.71
2024-04-22,66828.83,87.3,16.94
2024-04-23,66472.3,88.29,15.69
2024-04-24,64198.5,89.02,15.97
2024-04-25,64510.14,88.1,15.37
2024-04-26,63747.32,89.95,15.03
2024-04-29,63804.4,88.44,14.67
2024-04-30,60690.8,88.23,15.65
2024-05-01,58278.09,83.55,15.39
2024-05-02,59071.21,84.81,14.68
