date,python_views,javascript_views
2024-01-01,4455,2400
2024-01-02,6334,3101
2024-01-03,6790,3360
2024-01-04,6795,3366
2024-01-05,6322,2998
2024-01-06,5308,2552
2024-01-07,4980,2383
2024-01-08,6769,3370
2024-01-09,11237,3280
2024-01-10,10515,3630
2024-01-11,10377,3310
2024-01-12,8994,3198
2024-01-13,7111,2395
2024-01-14,7358,2351
2024-01-15,10099,2966
2024-01-16,10392,3354
2024-01-17,10515,3616
2024-01-18,10829,3744
2024-01-19,9664,3330
2024-01-20,7560,2636
2024-01-21,7869,2493
2024-01-22,10390,3381
2024-01-23,11145,3593
2024-01-24,11215,3697
2024-01-25,10693,3683
2024-01-26,10013,3051
2024-01-27,7966,2693
2024-01-28,8205,2531
2024-01-29,11847,3796
2024-01-30,11970,3925
2024-01-31,11798,3865
2024-02-01,8090,3570
2024-02-02,6738,3399
2024-02-03,5303,2449
2024-02-04,5289,2449
2024-02-05,7711,3429
2024-02-06,7461,3671
2024-02-07,7334,3687
2024-02-08,7114,3459
2024-02-09,6335,3088
2024-02-10,5238,2644
2024-02-11,5174,2602
2024-02-12,7251,3425
2024-02-13,7182,3478
2024-02-14,6611,3403
2024-02-15,7258,3527
2024-02-16,9233,4463
2024-02-17,6127,3159
2024-02-18,5416,2923
2024-02-19,7332,3493
2024-02-20,7672,3932
2024-02-21,7144,3768
2024-02-22,7411,3618
2024-02-23,6544,3598
2024-02-24,4896,2989
2024-02-25,5029,2793
2024-02-26,7473,3867
2024-02-27,7894,4102
2024-02-28,8024,4063
2024-02-29,7801,3823
2024-03-01,7149,3973
2024-03-02,5266,2912
2024-03-03,5155,2633
2024-03-04,7932,3707
2024-03-05,8168,3903
2024-03-06,7916,3782
2024-03-07,7167,3463
2024-03-08,5986,3130
2024-03-09,5125,2945
2024-03-10,5013,2701
2024-03-11,7183,3601
2024-03-12,7391,3907
2024-03-13,7011,3695
2024-03-14,6855,3528
2024-03-15,6728,3420
2024-03-16,4881,2910
2024-03-17,4902,2889
2024-03-18,6969,3617
2024-03-19,7196,3695
2024-03-20,6881,3852
2024-03-21,6637,3657
2024-03-22,6143,3231
2024-03-23,4611,2459
2024-03-24,4508,2674
2024-03-25,6212,3141
2024-03-26,6336,3174
2024-03-27,6101,3579
2024-03-28,5927,3477
2024-03-29,4973,2775
2024-03-30,4394,2599
2024-03-31,4224,2477
2024-04-01,5577,2960
2024-04-02,6142,3606
2024-04-03,6340,3538
2024-04-04,6371,3517
2024-04-05,5749,3180
2024-04-06,12936,2501
2024-04-07,6437,2436
2024-04-08,6478,3285
2024-04-09,6164,3260
2024-04-10,6067,3272
2024-04-11,6242,3347
2024-04-12,5608,3144
2024-04-13,4618,2718
2024-04-14,4251,2411
2024-04-15,6381,3251
2024-04-16,6535,3290
2024-04-17,6525,3120
2024-04-18,6413,3375
2024-04-19,5946,3504
2024-04-20,4541,2362
2024-04-21,4581,2459
2024-04-22,6482,3475
2024-04-23,6692,3545
2024-04-24,6574,3617
2024-04-25,6386,3259
2024-04-26,5980,2972
2024-04-27,4727,2550
2024-04-28,4900,2606
2024-04-29,7465,3046
2024-04-30,7215,3606
2024-05-01,6436,2995
2024-05-02,6716,3285
2024-05-03,6518,3301
2024-05-04,4977,2426
2024-05-05,4978,2492
2024-05-06,6470,3119
2024-05-07,6717,3474
2024-05-08,6436,3245
2024-05-09,5957,3113
2024-05-10,4952,2788
2024-05-11,4148,2519
2024-05-12,4245,2467
2024-05-13,5759,3231
2024-05-14,5965,3307
2024-05-15,5922,3332
2024-05-16,5923,3248
2024-05-17,5185,2890
2024-05-18,4218,2539
2024-05-19,4122,2460
2024-05-20,5613,2913
2024-05-21,6159,3432
2024-05-22,5597,3174
2024-05-23,5504,2854
2024-05-24,5062,2556
2024-05-25,4113,2012
2024-05-26,3945,2057
2024-05-27,5559,2751
2024-05-28,5980,2892
2024-05-29,5682,3127
2024-05-30,5671,2800
2024-05-31,5096,2720
2024-06-01,3908,2110
2024-06-02,4056,2124
2024-06-03,5704,2622
2024-06-04,5413,2808
2024-06-05,5549,2702
2024-06-06,5433,2800
2024-06-07,4830,2625
2024-06-08,3854,2392
2024-06-09,4061,2325
2024-06-10,5863,2835
2024-06-11,5848,2775
2024-06-12,5445,2594
2024-06-13,5229,2722
2024-06-14,4897,2453
2024-06-15,3768,1986
2024-06-16,3372,1927
2024-06-17,4709,2379
2024-06-18,5672,2591
2024-06-19,5874,2492
2024-06-20,5520,2648
2024-06-21,4965,2633
2024-06-22,5688,2285
2024-06-23,4646,2197
2024-06-24,8277,2536
2024-06-25,9828,2551
2024-06-26,6219,2651
2024-06-27,5015,2496
2024-06-28,4490,2658
2024-06-29,3374,2305
2024-06-30,4642,2320
2024-07-01,5452,2470
2024-07-02,4884,2902
2024-07-03,5506,3231
2024-07-04,4755,3107
2024-07-05,4057,2299
2024-07-06,4117,2247
2024-07-07,3698,2053
2024-07-08,5091,2522
2024-07-09,6029,2583
2024-07-10,5693,2902
2024-07-11,6356,2531
2024-07-12,4982,2340
2024-07-13,3643,1953
2024-07-14,3200,1957
2024-07-15,4666,2399
2024-07-16,4994,2483
2024-07-17,5055,2426
2024-07-18,5983,2837
2024-07-19,4546,2477
2024-07-20,3639,2067
2024-07-21,3396,2021
2024-07-22,5079,2558
2024-07-23,5132,3125
2024-07-24,5069,3126
2024-07-25,5025,2952
2024-07-26,4564,2964
2024-07-27,3618,2563
2024-07-28,3589,2012
2024-07-29,5156,2640
2024-07-30,5224,2511
2024-07-31,5086,2688
2024-08-01,5203,2576
2024-08-02,4637,2519
2024-08-03,3716,2138
2024-08-04,3575,2027
2024-08-05,4972,2513
2024-08-06,5245,2659
2024-08-07,5234,2893
2024-08-08,5097,2740
2024-08-09,4503,2485
2024-08-10,3583,2097
2024-08-11,3727,1961
2024-08-12,5067,2521
2024-08-13,5193,2635
2024-08-14,4813,2726
2024-08-15,4019,2491
2024-08-16,4475,2403
2024-08-17,3952,2009
2024-08-18,3543,1982
2024-08-19,4794,2473
2024-08-20,5250,2621
2024-08-21,5803,3045
2024-08-22,5360,3032
2024-08-23,5005,2717
2024-08-24,3978,2068
2024-08-25,3633,1890
2024-08-26,5066,2403
2024-08-27,5736,2590
2024-08-28,5880,2833
2024-08-29,5743,2801
2024-08-30,5100,2770
2024-08-31,4116,2653
2024-09-01,4142,2031
2024-09-02,5347,2710
2024-09-03,5947,2791
2024-09-04,5678,2929
2024-09-05,5442,2678
2024-09-06,5323,2736
2024-09-07,3771,2153
2024-09-08,3948,2141
2024-09-09,5777,2830
2024-09-10,5900,2768
2024-09-11,5787,2889
2024-09-12,5626,2741
2024-09-13,5210,2706
2024-09-14,3888,2052
2024-09-15,3805,1988
2024-09-16,5365,3661
2024-09-17,5828,3350
2024-09-18,5879,2961
2024-09-19,6041,3347
2024-09-20,5561,3188
2024-09-21,4356,2197
2024-09-22,3991,2103
2024-09-23,5834,2787
2024-09-24,5936,2907
2024-09-25,5906,3030
2024-09-26,5874,2709
2024-09-27,5391,2540
2024-09-28,3776,2009
2024-09-29,4040,2117
2024-09-30,5904,2627
2024-10-01,5741,2678
2024-10-02,5594,2555
2024-10-03,5811,2450
2024-10-04,5396,2626
2024-10-05,4161,2111
2024-10-06,4042,2015
2024-10-07,5866,2586
2024-10-08,6116,2870
2024-10-09,5804,2602
2024-10-10,5408,2515
2024-10-11,4848,2509
2024-10-12,3609,2007
2024-10-13,3935,2015
2024-10-14,6081,2541
2024-10-15,5986,2630
2024-10-16,5847,2723
2024-10-17,5793,3124
2024-10-18,5322,2543
2024-10-19,4005,2047
2024-10-20,4006,2041
2024-10-21,5371,2561
2024-10-22,5493,2758
2024-10-23,5232,2683
2024-10-24,5177,2539
2024-10-25,4914,2455
2024-10-26,3650,2006
2024-10-27,3530,1956
2024-10-28,4830,2380
2024-10-29,4722,2552
2024-10-30,4516,2582
2024-10-31,4338,2344
2024-11-01,3766,2039
2024-11-02,3295,2001
2024-11-03,3511,1900
2024-11-04,4700,2441
2024-11-05,4825,2678
2024-11-06,4559,2379
2024-11-07,4742,2372
2024-11-08,4604,2490
2024-11-09,3660,1995
2024-11-10,3863,1961
2024-11-11,5069,2519
2024-11-12,5475,2626
2024-11-13,5186,2609
2024-11-14,5080,2410
2024-11-15,4657,2434
2024-11-16,3536,1977
2024-11-17,3660,1869
2024-11-18,5192,3168
2024-11-19,5400,3022
2024-11-20,5313,2389
2024-11-21,5513,2480
2024-11-22,5021,2469
2024-11-23,3596,1944
2024-11-24,3700,2048
2024-11-25,5302,2676
2024-11-26,5217,2776
2024-11-27,5333,2619
2024-11-28,4644,2319
2024-11-29,4328,2303
2024-11-30,3643,2003
2024-12-01,3580,1897
2024-12-02,4999,2562
2024-12-03,5116,2486
2024-12-04,5417,2795
2024-12-05,5146,2331
2024-12-06,4614,2215
2024-12-07,3429,1943
2024-12-08,3542,1730
2024-12-09,5195,2460
2024-12-10,4879,2451
2024-12-11,5081,2419
2024-12-12,5365,2344
2024-12-13,4453,2262
2024-12-14,3258,1726
2024-12-15,3526,2201
2024-12-16,4826,2212
2024-12-17,4927,2298
2024-12-18,5204,2371
2024-12-19,4816,2333
2024-12-20,4273,2213
2024-12-21,3580,1849
2024-12-22,3268,1893
2024-12-23,4038,2431
2024-12-24,3800,1795
2024-12-25,3289,1660
2024-12-26,4606,1947
2024-12-27,3845,2150
2024-12-28,3287,1848
2024-12-29,3313,1921
2024-12-30,3706,1882
2024-12-31,3323,1668
