timestamp,date,region,magnitude,place,detail_url
2024-01-01T02:47:30.044000Z,2024-01-01,Alaska,3.6,"55 km WNW of Akhiok, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0241p0cnv
2024-01-01T04:51:02.177000Z,2024-01-01,Alaska,2.8,"27 km WNW of Petersville, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0241q80m4
2024-01-01T06:24:02.500000Z,2024-01-01,California,2.81,"5 km W of Baywood-Los Osos, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73983666
2024-01-01T13:15:25.500000Z,2024-01-01,California,2.83,"8 km NW of The Geysers, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73983786
2024-01-01T15:15:58.079000Z,2024-01-01,Alaska,2.9,"115 km NNE of Arctic Village, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0241wkabx
2024-01-01T16:17:58.540000Z,2024-01-01,Alaska,2.5,"67 km S of Unalaska, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/us6000m4xd
2024-01-01T16:27:32.250000Z,2024-01-01,California,4.06,"18 km S of Rancho Palos Verdes, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci40453591
2024-01-01T18:07:22.286000Z,2024-01-01,Alaska,3.4,"78 km SSW of Kaktovik, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0241yap5t
2024-01-01T20:06:51.612000Z,2024-01-01,Alaska,4.0,"35 km SE of Akutan, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/us6000m118
2024-01-01T23:27:32.613000Z,2024-01-01,Alaska,3.2,"210 km SSE of Perryville, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak02421e681
2024-01-02T00:49:30.835000Z,2024-01-02,Alaska,2.5,"20 km SE of Denali National Park, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0243bd9h9
2024-01-02T02:16:33.166000Z,2024-01-02,Alaska,2.6,"46 km WNW of Ninilchik, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0243cd25b
2024-01-02T04:30:02.435000Z,2024-01-02,Alaska,2.6,"67 km SSE of Akutan, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt41
2024-01-02T04:45:21.755000Z,2024-01-02,Alaska,2.5,"81 km S of False Pass, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt42
2024-01-02T05:55:43.577000Z,2024-01-02,Alaska,3.6,"32 km WNW of Valdez, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0243edqm4
2024-01-02T14:04:48.830000Z,2024-01-02,California,2.56,"17 km ESE of Anza, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci40454063
2024-01-02T21:45:28.795000Z,2024-01-02,Alaska,3.2,"202 km SE of Akutan, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt9p
2024-01-02T21:46:23.375000Z,2024-01-02,Alaska,3.0,"12 km S of Chiniak, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0243nupkg
2024-01-02T22:55:21.863000Z,2024-01-02,Alaska,2.8,"39 km WNW of Skwentna, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0243oi2c0
2024-01-02T23:25:05.689000Z,2024-01-02,Alaska,3.5,"81 km SSW of Unalaska, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt9q
2024-01-03T01:24:37.134000Z,2024-01-03,Alaska,2.8,"59 km NNE of Kobuk, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0244zcpdy
2024-01-03T03:15:45.550000Z,2024-01-03,California,2.85,"18 km NE of Mecca, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci40454359
2024-01-03T04:09:48.465000Z,2024-01-03,Alaska,2.5,"32 km NNE of Chase, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak024511t55
2024-01-03T09:04:49.225000Z,2024-01-03,Alaska,3.7,"20 km ESE of Nikolski, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/us6000m1hg
2024-01-03T10:15:42.184000Z,2024-01-03,Alaska,3.1,"109 km SE of Akutan, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/us7000ltdm
2024-01-03T12:31:48.780000Z,2024-01-03,Alaska,2.9,"72 km ENE of Wiseman, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak02455xzqo
2024-01-03T13:01:52.240000Z,2024-01-03,Alaska,2.8,"68 km ENE of Ouzinkie, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak02456czzl
2024-01-03T14:42:15.820000Z,2024-01-03,California,2.53,"5 km SW of Niland, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci40454551
2024-01-03T15:27:20.590000Z,2024-01-03,California,2.69,"5 km WSW of Niland, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci40454583
2024-01-03T17:14:06.146000Z,2024-01-03,Alaska,4.1,"252 km SW of Prince Rupert, Canada",https://earthquake.usgs.gov/earthquakes/eventpage/us7000ltji
2024-01-03T17:47:17.419000Z,2024-01-03,Alaska,2.7,"74 km SSW of Kaktovik, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak024590iqj
2024-01-03T23:06:16.407000Z,2024-01-03,Alaska,2.7,"89 km SE of King Cove, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/us7000ltjd
2024-01-04T03:57:44.979000Z,2024-01-04,Alaska,2.7,"40 km NE of Pedro Bay, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0246oa00j
2024-01-04T04:29:20.140000Z,2024-01-04,California,2.61,"7 km E of Calimesa, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci40454935
2024-01-04T05:58:44.628000Z,2024-01-04,Alaska,2.7,"72 km SSW of Sand Point, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/us7000ltmh
2024-01-04T08:07:34.409000Z,2024-01-04,Alaska,2.9,"215 km SE of Chiniak, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/us7000ltmk
2024-01-04T09:54:15.441000Z,2024-01-04,Alaska,3.5,"46 km SSE of Denali National Park, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0246rtw8j
2024-01-04T13:54:35.214000Z,2024-01-04,Alaska,2.6,"16 km SSE of Cooper Landing, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0246u7o66
2024-01-04T14:16:59.137000Z,2024-01-04,Alaska,3.6,"76 km ENE of Nikolski, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/us7000ltse
2024-01-04T19:17:19.986000Z,2024-01-04,Alaska,3.1,"103 km S of Nikolski, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/us7000ltsh
2024-01-04T20:04:53.566000Z,2024-01-04,Alaska,2.6,"61 km WNW of Happy Valley, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0246y310n
2024-01-04T22:01:25.731000Z,2024-01-04,Alaska,3.0,"97 km SE of Akutan, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/us7000ltsg
2024-01-05T06:17:54.418000Z,2024-01-05,Alaska,3.0,"58 km SW of Harding-Birch Lakes, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0248dd3g9
2024-01-05T11:16:48.769000Z,2024-01-05,Alaska,2.7,"87 km SSE of Chignik, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0248gc1jv
2024-01-05T14:07:10.112000Z,2024-01-05,Alaska,2.9,"84 km S of Nikolski, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu99
2024-01-05T17:32:57.335000Z,2024-01-05,Alaska,2.7,"122 km WNW of Yakutat, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0248k0339
2024-01-05T18:38:35.100000Z,2024-01-05,California,2.71,"11 km W of Ahwahnee, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73985486
2024-01-05T18:55:54.870000Z,2024-01-05,California,4.15,"1 km W of Lytle Creek, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci40455759
2024-01-05T20:05:45.640000Z,2024-01-05,Alaska,2.6,"51 km ENE of Shaktoolik, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0248lmknb
2024-01-05T21:22:07.552000Z,2024-01-05,Alaska,3.1,"67 km NE of Ouzinkie, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0248mbkg0
2024-01-05T22:11:20.278000Z,2024-01-05,Alaska,2.7,"37 km WNW of Valdez, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0248muo4k
2024-01-05T23:01:32.794000Z,2024-01-05,Alaska,2.6,"203 km SSE of Akutan, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu9i
2024-01-06T16:41:23.132000Z,2024-01-06,Alaska,3.2,"105 km SSW of Nikolski, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu68
2024-01-06T18:32:47.540000Z,2024-01-06,California,3.2,"11 km NE of Redwood Valley, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73985821
2024-01-06T23:33:48.793000Z,2024-01-06,Alaska,3.0,"8 km SE of Seldovia Village, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak024ab4889
2024-01-07T00:18:29.581000Z,2024-01-07,Alaska,3.4,"262 km SE of Akutan, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu7h
2024-01-07T05:50:08.011000Z,2024-01-07,Alaska,4.9,"8 km SE of Seldovia Village, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak024bo1buk
2024-01-07T11:36:58.994000Z,2024-01-07,Alaska,4.1,"223 km WSW of Elfin Cove, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/us6000m2bw
2024-01-07T12:10:42.421000Z,2024-01-07,Alaska,3.8,"140 km S of False Pass, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/us6000m2da
2024-01-07T18:27:26.584000Z,2024-01-07,Alaska,2.8,"53 km NE of Pedro Bay, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak024bvn2nn
2024-01-07T19:47:05.071000Z,2024-01-07,Alaska,2.9,"43 km NE of Pedro Bay, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak024bwcqy1
2024-01-07T21:50:09.986000Z,2024-01-07,Alaska,2.9,"89 km W of Akhiok, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak024bxk9sb
2024-01-07T22:46:46.430000Z,2024-01-07,California,2.76,"0 km NNW of Prattville, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73986226
2024-01-08T02:21:31.630000Z,2024-01-08,Alaska,2.5,"91 km E of Alcan Border, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak024d9m8a3
2024-01-08T02:39:05.140000Z,2024-01-08,California,2.67,"12 km SE of Pinnacles, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73986296
2024-01-08T06:48:35.031000Z,2024-01-08,Alaska,3.1,"83 km SSW of Unalaska, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/us7000luc2
2024-01-08T15:12:22.500000Z,2024-01-08,California,3.05,"18 km E of Ridgecrest, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci40456839
