timestamp,value
0,5.0
1,5.0183
2,5.0364
3,5.054
4,5.0709
5,5.087
6,5.1021
7,5.116
8,5.1286
9,5.1399
10,5.1498
11,5.1583
12,5.1655
13,5.1714
14,5.1762
15,5.1799
16,5.1829
17,5.1852
18,5.1871
19,5.1887
20,5.1905
21,5.1925
22,5.1949
23,5.1981
24,5.2022
25,5.2073
26,5.2135
27,5.2211
28,5.2301
29,5.2404
30,5.2521
31,5.2651
32,5.2793
33,5.2947
34,5.3111
35,5.3283
36,5.346
37,5.3642
38,5.3825
39,5.4008
40,5.4187
41,5.4361
42,5.4528
43,5.4686
44,5.4834
45,5.4969
46,5.5091
47,5.52
48,5.5295
49,5.5376
50,5.5444
51,5.5499
52,5.5544
53,5.5579
54,5.5606
55,5.5628
56,5.5646
57,5.5662
58,5.568
59,5.5701
60,5.5728
61,5.5762
62,5.5806
63,5.586
64,5.5927
65,5.6007
66,5.61
67,5.6207
68,5.6328
69,5.6462
70,5.6608
71,5.6765
72,5.6932
73,5.7105
74,5.7285
75,5.7467
76,5.765
77,5.7832
78,5.801
79,5.8182
80,5.8347
81,6.6502
82,6.6646
83,6.6777
84,6.6895
85,6.7
86,6.709
87,6.7167
88,6.7232
89,6.7284
90,6.7325
91,6.7358
92,6.7383
93,6.7403
94,6.7421
95,6.7437
96,6.7456
97,6.7479
98,6.7507
99,6.7544
100,6.7591
101,6.7649
102,6.7719
103,6.7803
104,6.7901
105,6.8012
106,6.8137
107,6.8275
108,6.8425
109,6.8584
110,6.8753
111,6.8929
112,6.9109
113,6.9292
114,6.9475
115,6.9656
116,6.9833
117,7.0003
118,7.0165
119,7.0316
